고객ID,성별,연령,결혼여부,부양자유무,부양자수,추천횟수,영수증발급여부,과금방식,보안서비스,백업서비스,기술지원서비스,데이터무제한,데이터사용량,시작일,종료일,고객이탈여부,이탈가능점수,이탈유형,LTV,만족도,로밍사용료,시작일_dt,종료일_dt,유지기간,총과금액,유지기간(년),데이터사용구간,고객월평균납부액
C-10015,여성,39,No,No,0,0,No,계좌이체,Yes,Yes,Yes,Yes,19,2016-05-01,2022-01-01,No,37,,5795,3,0,2016-05-01,2022-01-01,68,3594900,5,1GB 이상 2GB 미만,52866.17647058824
C-10016,여성,58,Yes,Yes,2,9,Yes,신용카드,No,Yes,No,Yes,12,2015-02-01,2022-01-01,No,26,,4865,5,30850,2015-02-01,2022-01-01,83,9353300,6,1GB 이상 2GB 미만,112690.36144578313
C-10017,여성,52,Yes,Yes,1,0,No,신용카드,Yes,No,Yes,Yes,20,2018-03-01,2022-01-01,No,37,,3607,4,0,2018-03-01,2022-01-01,46,3305700,3,2GB 이상 3GB 미만,71863.04347826086
C-10018,여성,72,No,No,0,0,Yes,계좌이체,No,No,No,Yes,22,2020-12-01,2022-01-01,No,50,,4432,4,8810,2020-12-01,2022-01-01,13,1049900,1,2GB 이상 3GB 미만,80761.53846153847
C-10019,남성,79,No,No,0,0,No,신용카드,Yes,No,No,Yes,17,2018-03-01,2021-12-01,Yes,92,Dissatisfaction,2654,1,12090,2018-03-01,2021-12-01,46,3363200,3,1GB 이상 2GB 미만,73113.04347826086
C-10020,남성,67,No,No,0,0,Yes,계좌이체,No,No,No,Yes,9,2021-07-01,2021-08-01,Yes,85,Competitor,5437,3,0,2021-07-01,2021-08-01,2,55600,0,1GB 미만,27800.0
C-10021,여성,79,Yes,No,0,0,No,계좌이체,No,No,No,No,0,2016-11-01,2022-01-01,No,61,,4015,3,35480,2016-11-01,2022-01-01,62,1803400,5,1GB 미만,29087.09677419355
C-10022,여성,26,Yes,No,0,1,No,계좌이체,No,Yes,No,Yes,52,2020-08-01,2021-09-01,Yes,75,Other,2973,1,0,2020-08-01,2021-09-01,14,1579900,1,5GB 이상 6GB 미만,112850.0
C-10023,여성,30,Yes,Yes,2,1,Yes,계좌이체,No,No,No,Yes,30,2019-02-01,2022-01-01,No,78,,3585,4,39440,2019-02-01,2022-01-01,35,3393700,2,3GB 이상 4GB 미만,96962.85714285714
C-10024,여성,22,No,No,0,0,No,신용카드,No,No,No,No,0,2020-10-01,2022-01-01,No,59,,5634,4,3500,2020-10-01,2022-01-01,15,341400,1,1GB 미만,22760.0
C-10025,여성,34,Yes,No,0,0,No,신용카드,No,No,No,No,0,2021-04-01,2021-08-01,Yes,81,Price,4133,1,14010,2021-04-01,2021-08-01,5,118700,0,1GB 미만,23740.0
C-10027,여성,37,Yes,Yes,3,10,Yes,계좌이체,No,Yes,Yes,No,57,2016-06-01,2022-01-01,No,65,,5892,3,39550,2016-06-01,2022-01-01,67,8147600,5,5GB 이상 6GB 미만,121605.97014925373
C-10028,남성,42,Yes,Yes,3,3,No,신용카드,No,No,No,No,0,2016-07-01,2022-01-01,No,60,,6393,4,22260,2016-07-01,2022-01-01,66,1609900,5,1GB 미만,24392.424242424244
C-10029,남성,64,No,No,0,0,Yes,계좌이체,No,No,No,No,0,2018-11-01,2022-01-01,No,26,,3722,4,42600,2018-11-01,2022-01-01,38,883400,3,1GB 미만,23247.36842105263
C-10030,여성,47,Yes,Yes,3,5,No,계좌이체,No,No,No,No,0,2015-04-01,2022-01-01,No,76,,4131,5,43390,2015-04-01,2022-01-01,81,1892600,6,1GB 미만,23365.432098765432
C-10031,남성,23,No,No,0,1,No,신용카드,No,No,No,Yes,51,2017-12-01,2022-01-01,No,55,,5263,5,48590,2017-12-01,2022-01-01,49,5286800,4,5GB 이상 6GB 미만,107893.87755102041
C-10032,여성,48,Yes,No,0,5,No,계좌이체,No,No,No,No,0,2016-12-01,2022-01-01,No,20,,6061,3,56050,2016-12-01,2022-01-01,61,1474600,5,1GB 미만,24173.77049180328
C-10033,남성,28,Yes,No,0,9,No,계좌이체,Yes,Yes,Yes,Yes,41,2015-07-01,2022-01-01,No,42,,5845,3,49490,2015-07-01,2022-01-01,78,10587100,6,4GB 이상 5GB 미만,135732.05128205128
C-10034,여성,28,No,No,0,0,No,계좌이체,No,No,No,No,0,2015-06-01,2022-01-01,No,72,,5462,5,26100,2015-06-01,2022-01-01,79,1917400,6,1GB 미만,24270.886075949365
C-10035,남성,33,Yes,Yes,1,4,Yes,신용카드,Yes,No,Yes,Yes,22,2019-05-01,2022-01-01,No,29,,3899,3,0,2019-05-01,2022-01-01,32,1480300,2,2GB 이상 3GB 미만,46259.375
C-10036,여성,31,No,Yes,3,0,Yes,계좌이체,No,No,No,No,0,2017-06-01,2022-01-01,No,59,,4797,4,34580,2017-06-01,2022-01-01,55,1608700,4,1GB 미만,29249.090909090908
C-10037,여성,37,Yes,No,0,2,Yes,계좌이체,Yes,No,No,Yes,9,2016-06-01,2022-01-01,No,42,,5875,3,5760,2016-06-01,2022-01-01,67,7102400,5,1GB 미만,106005.97014925373
C-10038,여성,60,Yes,No,0,4,Yes,계좌이체,Yes,Yes,No,Yes,14,2016-02-01,2022-01-01,No,26,,5238,3,18530,2016-02-01,2022-01-01,71,8014000,5,1GB 이상 2GB 미만,112873.23943661971
C-10039,여성,48,Yes,Yes,3,3,No,계좌이체,No,No,No,No,0,2020-01-01,2022-01-01,No,57,,5190,5,21810,2020-01-01,2022-01-01,24,572600,2,1GB 미만,23858.333333333332
C-10040,남성,60,Yes,Yes,3,7,Yes,계좌이체,No,No,No,Yes,23,2018-10-01,2022-01-01,No,46,,4994,3,28590,2018-10-01,2022-01-01,39,3410100,3,2GB 이상 3GB 미만,87438.46153846153
C-10041,남성,69,No,No,0,0,Yes,계좌이체,Yes,No,No,Yes,27,2021-08-01,2021-10-01,Yes,89,Competitor,3475,2,49720,2021-08-01,2021-10-01,3,174500,0,2GB 이상 3GB 미만,58166.666666666664
C-10042,여성,20,No,No,0,0,No,신용카드,No,Yes,Yes,Yes,59,2018-10-01,2022-01-01,No,54,,2297,3,55260,2018-10-01,2022-01-01,39,3554600,3,5GB 이상 6GB 미만,91143.58974358975
C-10043,남성,31,Yes,Yes,3,1,No,신용카드,No,No,No,No,0,2018-12-01,2022-01-01,No,65,,5230,3,26780,2018-12-01,2022-01-01,37,1127200,3,1GB 미만,30464.864864864863
C-10044,남성,46,Yes,No,0,5,Yes,계좌이체,Yes,Yes,No,Yes,19,2018-12-01,2022-01-01,No,66,,3807,3,7350,2018-12-01,2022-01-01,37,2645500,3,1GB 이상 2GB 미만,71500.0
C-10045,남성,57,No,Yes,1,0,Yes,신용카드,Yes,Yes,Yes,Yes,21,2018-08-01,2022-01-01,No,73,,3290,4,0,2018-08-01,2022-01-01,41,2138100,3,2GB 이상 3GB 미만,52148.78048780488
C-10046,남성,27,No,No,0,5,Yes,계좌이체,No,Yes,Yes,Yes,52,2015-01-01,2022-01-01,No,76,,6322,3,36610,2015-01-01,2022-01-01,84,8402000,7,5GB 이상 6GB 미만,100023.80952380953
C-10047,여성,64,No,No,0,0,No,신용카드,No,Yes,No,Yes,12,2019-11-01,2022-01-01,No,57,,4298,3,27120,2019-11-01,2022-01-01,26,1655200,2,1GB 이상 2GB 미만,63661.53846153846
C-10048,여성,38,No,No,0,0,Yes,계좌이체,No,No,Yes,Yes,2,2018-02-01,2022-01-01,No,36,,3244,3,41130,2018-02-01,2022-01-01,47,5432400,3,1GB 미만,115582.97872340426
C-10049,남성,54,No,No,0,0,Yes,신용카드,No,No,No,Yes,9,2020-12-01,2022-01-01,No,57,,4427,5,48590,2020-12-01,2022-01-01,13,681200,1,1GB 미만,52400.0
C-10050,남성,50,No,No,0,0,Yes,계좌이체,No,No,Yes,No,17,2018-08-01,2022-01-01,No,60,,4561,5,2370,2018-08-01,2022-01-01,41,4434100,3,1GB 이상 2GB 미만,108148.78048780488
C-10051,남성,25,No,No,0,0,No,계좌이체,Yes,Yes,Yes,No,69,2015-09-01,2022-01-01,No,67,,4761,3,6220,2015-09-01,2022-01-01,76,7279600,6,6GB 이상 7GB 미만,95784.21052631579
C-10052,여성,35,Yes,Yes,3,1,Yes,신용카드,No,No,Yes,Yes,53,2017-10-01,2022-01-01,No,43,,4447,3,27570,2017-10-01,2022-01-01,51,5979500,4,5GB 이상 6GB 미만,117245.09803921569
C-10053,여성,72,No,No,0,0,Yes,계좌이체,No,No,No,Yes,23,2017-09-01,2022-01-01,No,59,,5742,3,0,2017-09-01,2022-01-01,52,5574700,4,2GB 이상 3GB 미만,107205.76923076923
C-10054,남성,51,No,No,0,0,Yes,신용카드,No,Yes,No,Yes,15,2018-03-01,2021-07-01,Yes,93,Competitor,2832,1,42600,2018-03-01,2021-07-01,41,5015100,3,1GB 이상 2GB 미만,122319.51219512195
C-10055,여성,78,No,Yes,1,0,Yes,계좌이체,No,Yes,No,No,29,2020-05-01,2021-04-01,Yes,85,Dissatisfaction,5980,1,13110,2020-05-01,2021-04-01,12,1377100,1,2GB 이상 3GB 미만,114758.33333333333
C-10056,여성,30,Yes,No,0,10,No,계좌이체,No,No,No,Yes,85,2020-07-01,2022-01-01,No,74,,3442,3,48250,2020-07-01,2022-01-01,18,1060200,1,8GB 이상,58900.0
C-10057,남성,58,No,No,0,0,Yes,이체/메일확인,Yes,No,No,Yes,15,2018-07-01,2022-01-01,No,48,,5039,3,0,2018-07-01,2022-01-01,42,3143400,3,1GB 이상 2GB 미만,74842.85714285714
C-10058,남성,26,No,No,0,0,Yes,계좌이체,No,No,No,No,0,2018-10-01,2022-01-01,No,39,,3792,5,23390,2018-10-01,2022-01-01,39,886400,3,1GB 미만,22728.20512820513
C-10059,남성,66,Yes,No,0,3,Yes,계좌이체,No,Yes,No,Yes,28,2015-03-01,2022-01-01,No,57,,5291,5,0,2015-03-01,2022-01-01,82,10210000,6,2GB 이상 3GB 미만,124512.19512195123
C-10060,여성,20,No,No,0,10,Yes,계좌이체,No,Yes,Yes,Yes,73,2016-04-01,2022-01-01,No,65,,6026,5,0,2016-04-01,2022-01-01,69,8914000,5,7GB 이상 8GB 미만,129188.40579710146
C-10061,남성,61,Yes,No,0,10,No,신용카드,No,No,No,Yes,18,2016-03-01,2022-01-01,No,30,,5232,5,0,2016-03-01,2022-01-01,70,4164900,5,1GB 이상 2GB 미만,59498.57142857143
C-10062,남성,24,No,No,0,0,Yes,계좌이체,No,Yes,No,Yes,48,2019-09-01,2022-01-01,No,39,,3360,5,29040,2019-09-01,2022-01-01,28,2282300,2,4GB 이상 5GB 미만,81510.71428571429
C-10063,여성,55,Yes,No,0,3,Yes,계좌이체,Yes,Yes,Yes,Yes,27,2015-04-01,2022-01-01,No,37,,4216,3,43510,2015-04-01,2022-01-01,81,10957300,6,2GB 이상 3GB 미만,135275.3086419753
C-10065,남성,59,No,No,0,0,Yes,계좌이체,No,No,No,Yes,25,2021-01-01,2021-02-01,Yes,93,Competitor,4214,1,45990,2021-01-01,2021-02-01,2,227700,0,2GB 이상 3GB 미만,113850.0
C-10066,남성,71,Yes,Yes,1,9,Yes,이체/메일확인,No,Yes,No,Yes,23,2018-05-01,2022-01-01,No,62,,2844,5,36050,2018-05-01,2022-01-01,44,4802200,3,2GB 이상 3GB 미만,109140.90909090909
C-10067,남성,49,Yes,Yes,2,8,Yes,계좌이체,No,No,No,Yes,12,2019-09-01,2022-01-01,No,66,,5560,3,55030,2019-09-01,2022-01-01,28,3005700,2,1GB 이상 2GB 미만,107346.42857142857
C-10068,남성,61,Yes,No,0,1,No,계좌이체,Yes,No,Yes,Yes,10,2017-09-01,2021-10-01,Yes,73,Competitor,6452,2,44750,2017-09-01,2021-10-01,50,4891300,4,1GB 이상 2GB 미만,97826.0
C-10069,여성,40,Yes,No,0,2,No,계좌이체,No,Yes,Yes,Yes,29,2015-02-01,2022-01-01,No,76,,5224,5,0,2015-02-01,2022-01-01,83,5754900,6,2GB 이상 3GB 미만,69336.14457831325
C-10070,여성,39,No,No,0,0,No,계좌이체,No,Yes,No,Yes,12,2018-04-01,2022-01-01,No,33,,4800,3,56160,2018-04-01,2022-01-01,45,5665300,3,1GB 이상 2GB 미만,125895.55555555556
C-10071,여성,21,No,No,0,9,Yes,계좌이체,No,No,No,No,0,2020-03-01,2022-01-01,No,54,,3831,4,56050,2020-03-01,2022-01-01,22,507000,1,1GB 미만,23045.454545454544
C-10072,남성,24,No,No,0,1,Yes,계좌이체,No,Yes,Yes,No,59,2020-03-01,2021-12-01,Yes,89,Attitude,4123,3,41020,2020-03-01,2021-12-01,22,2908600,1,5GB 이상 6GB 미만,132209.0909090909
C-10073,남성,52,Yes,Yes,1,1,No,계좌이체,Yes,Yes,No,Yes,23,2018-09-01,2021-10-01,Yes,80,Competitor,3627,2,0,2018-09-01,2021-10-01,38,1775700,3,2GB 이상 3GB 미만,46728.94736842105
C-10074,여성,71,No,No,0,0,Yes,신용카드,Yes,No,No,Yes,7,2018-11-01,2022-01-01,No,46,,5700,3,38080,2018-11-01,2022-01-01,38,3880900,3,1GB 미만,102128.94736842105
C-10075,남성,45,No,No,0,0,Yes,신용카드,Yes,No,Yes,Yes,7,2016-11-01,2022-01-01,No,36,,5052,3,0,2016-11-01,2022-01-01,62,2628500,5,1GB 미만,42395.16129032258
C-10076,여성,29,No,No,0,0,Yes,계좌이체,No,No,No,Yes,26,2020-12-01,2021-07-01,Yes,67,Competitor,2473,3,32320,2020-12-01,2021-07-01,8,671500,0,2GB 이상 3GB 미만,83937.5
C-10077,여성,62,Yes,No,0,1,No,이체/메일확인,Yes,Yes,Yes,Yes,28,2015-12-01,2022-01-01,No,40,,5152,4,53340,2015-12-01,2022-01-01,73,7547900,6,2GB 이상 3GB 미만,103395.8904109589
C-10078,남성,42,No,No,0,0,Yes,계좌이체,No,No,Yes,Yes,12,2020-01-01,2021-04-01,Yes,99,Attitude,3025,2,51870,2020-01-01,2021-04-01,16,1874800,1,1GB 이상 2GB 미만,117175.0
C-10079,여성,51,No,Yes,2,0,No,신용카드,Yes,No,Yes,Yes,19,2018-11-01,2022-01-01,No,45,,3287,4,0,2018-11-01,2022-01-01,38,2022900,3,1GB 이상 2GB 미만,53234.21052631579
C-10080,남성,39,Yes,No,0,9,Yes,계좌이체,No,No,No,Yes,23,2015-01-01,2022-01-01,No,20,,5943,3,37520,2015-01-01,2022-01-01,84,9296600,7,2GB 이상 3GB 미만,110673.80952380953
C-10081,남성,64,Yes,No,0,1,Yes,계좌이체,No,No,No,No,0,2017-05-01,2022-01-01,No,59,,3093,3,30960,2017-05-01,2022-01-01,56,1338600,4,1GB 미만,23903.571428571428
C-10082,남성,55,No,No,0,0,No,신용카드,No,Yes,No,No,8,2015-07-01,2022-01-01,No,49,,4889,3,55140,2015-07-01,2022-01-01,78,8236400,6,1GB 미만,105594.8717948718
C-10083,여성,40,No,No,0,0,Yes,계좌이체,Yes,Yes,Yes,Yes,16,2021-08-01,2021-10-01,Yes,94,Competitor,3529,2,41580,2021-08-01,2021-10-01,3,295800,0,1GB 이상 2GB 미만,98600.0
C-10084,여성,76,No,No,0,0,No,계좌이체,No,No,Yes,Yes,17,2017-05-01,2022-01-01,No,71,,3253,5,8700,2017-05-01,2022-01-01,56,4902300,4,1GB 이상 2GB 미만,87541.07142857143
C-10085,여성,57,No,No,0,0,Yes,계좌이체,No,Yes,No,Yes,6,2020-07-01,2021-07-01,Yes,97,Attitude,5671,3,16270,2020-07-01,2021-07-01,13,1397000,1,1GB 미만,107461.53846153847
C-10086,남성,71,Yes,No,0,1,Yes,계좌이체,No,Yes,Yes,Yes,17,2015-04-01,2022-01-01,No,63,,4297,5,20790,2015-04-01,2022-01-01,81,10491300,6,1GB 이상 2GB 미만,129522.22222222222
C-10088,여성,24,No,No,0,0,No,신용카드,No,No,No,No,0,2020-11-01,2021-02-01,Yes,95,Price,3398,1,29150,2020-11-01,2021-02-01,4,93100,0,1GB 미만,23275.0
C-10089,여성,31,No,No,0,10,No,계좌이체,Yes,Yes,No,Yes,53,2020-11-01,2022-01-01,No,29,,5361,3,5310,2020-11-01,2022-01-01,14,1614600,1,5GB 이상 6GB 미만,115328.57142857143
C-10090,여성,77,No,No,0,0,Yes,계좌이체,No,Yes,No,Yes,4,2018-10-01,2022-01-01,No,77,,5990,4,3390,2018-10-01,2022-01-01,39,4043900,3,1GB 미만,103689.7435897436
C-10091,남성,57,No,No,0,0,Yes,계좌이체,No,No,No,No,0,2018-11-01,2022-01-01,No,68,,5712,5,15030,2018-11-01,2022-01-01,38,909800,3,1GB 미만,23942.105263157893
C-10092,여성,73,Yes,No,0,9,Yes,계좌이체,No,No,Yes,Yes,21,2017-10-01,2022-01-01,No,77,,3172,4,22830,2017-10-01,2022-01-01,51,5981900,4,2GB 이상 3GB 미만,117292.1568627451
C-10093,남성,41,No,No,0,0,Yes,계좌이체,No,No,No,Yes,8,2019-04-01,2021-05-01,Yes,82,Competitor,5641,1,39440,2019-04-01,2021-05-01,26,2910700,2,1GB 미만,111950.0
C-10094,여성,43,No,No,0,0,No,이체/메일확인,No,No,No,Yes,23,2021-01-01,2021-02-01,Yes,78,Competitor,4739,1,44970,2021-01-01,2021-02-01,2,157800,0,2GB 이상 3GB 미만,78900.0
C-10095,남성,48,Yes,No,0,1,Yes,계좌이체,Yes,No,Yes,Yes,21,2019-06-01,2021-04-01,Yes,87,Attitude,5102,2,30740,2019-06-01,2021-04-01,23,1492500,1,2GB 이상 3GB 미만,64891.30434782609
C-10096,여성,56,No,No,0,0,Yes,계좌이체,Yes,Yes,Yes,Yes,5,2015-01-01,2022-01-01,No,69,,4589,4,54690,2015-01-01,2022-01-01,84,11264500,7,1GB 미만,134101.19047619047
C-10097,여성,51,No,No,0,0,Yes,계좌이체,No,No,No,No,0,2019-01-01,2022-01-01,No,34,,2511,5,11980,2019-01-01,2022-01-01,36,833600,3,1GB 미만,23155.555555555555
C-10098,여성,34,Yes,No,0,8,Yes,계좌이체,No,No,No,Yes,16,2019-06-01,2022-01-01,No,64,,5072,5,8810,2019-06-01,2022-01-01,31,3223300,2,1GB 이상 2GB 미만,103977.41935483871
C-10099,남성,21,No,No,0,2,No,신용카드,No,No,No,No,0,2015-02-01,2022-01-01,No,68,,5747,5,10400,2015-02-01,2022-01-01,83,2496300,6,1GB 미만,30075.90361445783
C-10100,남성,78,Yes,No,0,7,Yes,계좌이체,Yes,No,Yes,Yes,20,2018-04-01,2022-01-01,No,59,,5655,3,23390,2018-04-01,2022-01-01,45,5742700,3,2GB 이상 3GB 미만,127615.55555555556
C-10101,여성,60,No,No,0,0,No,신용카드,No,No,No,No,0,2020-10-01,2022-01-01,No,74,,5949,3,0,2020-10-01,2022-01-01,15,370400,1,1GB 미만,24693.333333333332
C-10102,남성,54,Yes,Yes,1,7,No,계좌이체,No,Yes,No,Yes,13,2017-02-01,2022-01-01,No,76,,3760,3,0,2017-02-01,2022-01-01,59,6044100,4,1GB 이상 2GB 미만,102442.37288135593
C-10103,남성,42,Yes,Yes,3,2,No,신용카드,Yes,Yes,Yes,Yes,20,2015-11-01,2022-01-01,No,43,,5298,4,2030,2015-11-01,2022-01-01,74,9585600,6,2GB 이상 3GB 미만,129535.13513513513
C-10104,남성,22,No,No,0,0,Yes,계좌이체,Yes,Yes,Yes,Yes,48,2015-02-01,2022-01-01,No,59,,4644,4,3280,2015-02-01,2022-01-01,83,11427800,6,4GB 이상 5GB 미만,137684.3373493976
C-10105,남성,71,Yes,No,0,8,Yes,계좌이체,No,No,No,Yes,11,2020-06-01,2022-01-01,No,36,,5711,4,47460,2020-06-01,2022-01-01,19,2005300,1,1GB 이상 2GB 미만,105542.1052631579
C-10106,여성,56,Yes,Yes,2,6,No,신용카드,Yes,No,No,Yes,28,2018-10-01,2022-01-01,No,57,,4331,3,52770,2018-10-01,2022-01-01,39,3416800,3,2GB 이상 3GB 미만,87610.2564102564
C-10107,남성,33,No,No,0,0,No,신용카드,No,No,No,No,0,2020-11-01,2022-01-01,No,59,,4978,3,2030,2020-11-01,2022-01-01,14,328600,1,1GB 미만,23471.428571428572
C-10108,여성,32,No,Yes,3,0,No,계좌이체,Yes,No,Yes,Yes,75,2018-12-01,2022-01-01,No,69,,2754,4,0,2018-12-01,2022-01-01,37,1529200,3,7GB 이상 8GB 미만,41329.72972972973
C-10109,남성,80,No,No,0,0,Yes,계좌이체,Yes,Yes,No,Yes,5,2018-07-01,2022-01-01,No,55,,3033,4,43620,2018-07-01,2022-01-01,42,3818400,3,1GB 미만,90914.28571428571
C-10110,여성,73,Yes,No,0,1,Yes,신용카드,Yes,Yes,Yes,Yes,19,2016-03-01,2021-01-01,Yes,100,Attitude,5067,1,19100,2016-03-01,2021-01-01,59,7260800,4,1GB 이상 2GB 미만,123064.40677966102
C-10111,남성,26,Yes,No,0,1,Yes,계좌이체,No,No,No,No,82,2020-05-01,2021-03-01,Yes,75,Competitor,3573,3,2260,2020-05-01,2021-03-01,11,1122200,0,8GB 이상,102018.18181818182
C-10112,여성,59,No,No,0,0,Yes,신용카드,No,No,No,Yes,28,2020-04-01,2022-01-01,No,68,,5841,5,10510,2020-04-01,2022-01-01,21,1824000,1,2GB 이상 3GB 미만,86857.14285714286
C-10113,여성,78,Yes,No,0,1,Yes,계좌이체,No,No,No,Yes,17,2021-04-01,2021-10-01,Yes,77,Other,5721,3,32430,2021-04-01,2021-10-01,7,746700,0,1GB 이상 2GB 미만,106671.42857142857
C-10114,여성,47,Yes,Yes,1,7,No,계좌이체,Yes,No,No,No,16,2015-04-01,2022-01-01,No,49,,5629,3,43960,2015-04-01,2022-01-01,81,8236300,6,1GB 이상 2GB 미만,101682.71604938271
C-10115,여성,68,No,No,0,0,Yes,계좌이체,Yes,No,No,Yes,20,2015-07-01,2022-01-01,No,69,,4861,3,11870,2015-07-01,2022-01-01,78,9481000,6,2GB 이상 3GB 미만,121551.28205128205
C-10116,여성,30,No,No,0,0,No,신용카드,Yes,Yes,Yes,Yes,52,2015-10-01,2021-08-01,Yes,87,Dissatisfaction,4838,1,11530,2015-10-01,2021-08-01,71,9638000,5,5GB 이상 6GB 미만,135746.47887323942
C-10117,남성,62,No,No,0,0,No,계좌이체,No,No,No,No,0,2019-09-01,2021-10-01,Yes,79,Price,3779,3,6330,2019-09-01,2021-10-01,26,794900,2,1GB 미만,30573.076923076922
C-10118,여성,52,Yes,Yes,2,1,Yes,신용카드,No,No,No,No,0,2017-03-01,2022-01-01,No,77,,5596,5,27460,2017-03-01,2022-01-01,58,1334100,4,1GB 미만,23001.724137931036
C-10119,여성,63,Yes,No,0,7,Yes,신용카드,Yes,Yes,Yes,Yes,26,2016-07-01,2022-01-01,No,67,,4488,4,12880,2016-07-01,2022-01-01,66,8958400,5,2GB 이상 3GB 미만,135733.33333333334
C-10120,여성,54,No,No,0,0,No,계좌이체,Yes,No,Yes,Yes,7,2020-09-01,2021-12-01,Yes,84,Competitor,2122,1,25310,2020-09-01,2021-12-01,16,1961600,1,1GB 미만,122600.0
C-10121,여성,48,Yes,Yes,1,0,No,계좌이체,No,No,No,No,0,2020-01-01,2022-01-01,No,29,,3713,3,9380,2020-01-01,2022-01-01,24,542200,2,1GB 미만,22591.666666666668
C-10122,여성,51,No,No,0,0,Yes,계좌이체,No,Yes,No,Yes,22,2019-03-01,2022-01-01,No,73,,2875,3,0,2019-03-01,2022-01-01,34,2011500,2,2GB 이상 3GB 미만,59161.76470588235
C-10123,여성,22,No,No,0,9,No,계좌이체,No,Yes,Yes,Yes,85,2015-03-01,2022-01-01,No,42,,5640,4,0,2015-03-01,2022-01-01,82,5600300,6,8GB 이상,68296.34146341463
C-10124,남성,52,No,No,0,0,Yes,신용카드,Yes,Yes,No,No,20,2018-07-01,2022-01-01,No,66,,5393,4,27910,2018-07-01,2022-01-01,42,4190200,3,2GB 이상 3GB 미만,99766.66666666667
C-10125,남성,22,No,No,0,1,No,계좌이체,No,Yes,No,Yes,59,2015-02-01,2022-01-01,No,37,,5876,5,31980,2015-02-01,2022-01-01,83,9953600,6,5GB 이상 6GB 미만,119922.89156626505
